,parkrun,location,county,first_run,Notes,lat,lon
0,alvaston,Alvaston,Derbyshire,25 May 2019,"After several attempts to set up a Parkrun at Elvaston Castle, council opposition forced the change of location to Alvaston Park",52.885106,-1.4043425
1,ashbournerecreationground,Ashbourne,Derbyshire,7 May 2022,"The course, mostly flat grassy fields, is 3 laps of a loop round the sports fields, pond and memorial gardens[14]",53.0173327,-1.7342725
2,beeston,Beeston,Nottinghamshire,5 Apr 2014,At the Weirfields Recreation Ground taking in the River Trent and canal[16],52.9257197,-1.2161887
3,beltonhouse,Belton,Lincolnshire,7 Nov 2011,In the grounds of The National Trust's Grade I listed Belton House,53.5568761,-0.8126984
4,belvoircastle,Belvoir Castle,Leicestershire,15 Jan 2022,This out and back trail course has a permanently pathed course for use in the winter[18],52.894692500000005,-0.7826892056994449
5,bestwoodvillage,Bestwood Village,Nottinghamshire,28 Jan 2017,"Single lap of Bestwood Country Park[19] with two intimidating hills, one affectionately known as 'the Beast'.",53.0245547,-1.1754342
6,boston,Boston,Lincolnshire,24 Oct 2015,At Witham Way Country Park,52.9770408,-0.0239836
7,braunstone,Braunstone,Leicestershire,25 Sep 2010,In Braunstone park starting at Braunstone Hall,52.613167250000004,-1.1839130659494432
8,brierleyforest,Huthwaite,Nottinghamshire,10 Sep 2016,An undulating trail run in Brierley Forest Park starting at the forest visitor centre,53.1293921,-1.3011537
9,brixworthcountry,Northampton,Northamptonshire,30 Nov 2019,"This is an out and back course along the shore of Pitsford reservoir, with the return leg taking you through the country park and up a couple of cheeky hills.[22]",52.23433665,-0.9028072768185829
10,clifton,Clifton,Nottinghamshire,13 Jan 2018,At the Clifton playing fields [24],52.9053656,-1.1814134
11,clumberpark,Worksop,Nottinghamshire,2 Jun 2013,In Grade I listed Clumber Park,53.3042362,-1.1246168
12,colwick,Colwick,Nottinghamshire,25 Jun 2011,At Colwick Country Park with one lap of the main lake and two laps of the small lake[26],52.9561946,-1.0890599
13,conkers,Moira,Leicestershire,16 Apr 2011,In The National Forest starting at the Conkers Waterside and Discovery Centre,52.7362135,-1.5344735
14,corby,Corby,Northamptonshire,21 Sep 2013,Two and a half laps of West Glebe Park,52.4877341,-0.7032713
15,daventry,Daventry,Northamptonshire,8 Nov 2014,A flat one lap course of Daventry Country Park,52.2578681,-1.1626569
16,doddingtonhall,Doddington,Lincolnshire,25 Jan 2020,This is an out and back course along the tarmac path to the National Cycle route 64[30],53.2196454,-0.6520068
17,dishley,Loughborough,Leicestershire,28 Jul 2018,At Loughborough Rugby Club and runs along the Grand Union Canal and River Soar,52.7723859,-1.2077985
18,forestrec,Nottingham,Nottinghamshire,6 April 2014,At the Forest Recreation Ground[32],52.9534193,-1.1496461
19,gedling,Gedling,Nottinghamshire,20 Jun 2016,An undulating single lap figure of eight course set in the grounds of Gedling Country Park[33],53.02605385,-1.1071169188526024
20,glossop,Glossop,Derbyshire,26 Sep 2015,Three laps of Manor Park,53.4433552,-1.9499173
21,hastingshighschool,Hinkley,Leicestershire,26 Mar 2022,A flat mainly cross country course around the perimeter of the school field for one lap and then for the subsequent three laps the entire school site.[34],52.4554471,-1.2000954
22,irchestercountry,Wellingborough,Northamptonshire,2 Nov 2019,"An and out-and-back route with a 1km loop in the middle, It is run on well surfaced trails through diverse woodland.[35]",52.30189,-0.6937309
23,kettering,Kettering,Northamptonshire,24 Sep 2016,"At Wicksteed Park, an Amusement Park",52.3994233,-0.728004
24,leicestervictoria,Leicester,Leicestershire,14 Nov 2015,"In Victoria Park, adjacent to the University of Leicester",52.6362,-1.1331969
25,lincoln,"Lincoln,",Lincolnshire,6 Nov 2013,Three laps of Boultham Park on tarmac paths,53.2336301,-0.5392172
26,longeaton,"Long Eaton,",Derbyshire,13 Jun 2015,Two laps of West Park starting near the cricket pavilion[39],52.8985715,-1.270813
27,mansfield,Mansfield,Nottinghamshire,29 Sep 2012,Three laps of Manor Park on concrete and gravel paths,53.1443785,-1.1964165
28,markeaton,Markeaton,Derbyshire,27 Apr 2014,Two laps of Markeaton Park starting at the lake,52.9351268,-1.5054783
29,marketharborough,Market Harborough,Leicestershire,25 Apr 2015,In Welland Park,52.4777114,-0.9208575
30,marketrasenracecourse,Market Rasen,Lincolnshire,3 Nov 2018,At Market Rasen National Hunt Racecourse. Mostly on tarmac,53.3874028,-0.336659
31,meltonmowbray,Melton Mowbray,Leicestershire,10 Jan 2015,"In Melton Country Park, starting at the visitors centre",52.7645663,-0.8868896
32,monsaltrail,Hassop,Derbyshire,6 Jan 2018,"An out and back run on the Monsal Trail, starting and finishing at Hassop railway station - formerly known as Bakewell parkrun",53.2479586,-1.6653412
33,newark,Newark,Nottinghamshire,1 Jun 2013,A multi terrain run in Sconce and Devon Park,53.0736266,-0.8005422346357507
34,northampton,Northampton,Northamptonshire,5 May 2012,At The Racecourse (no longer used for horse racing),52.23433665,-0.9028072768185829
35,poolsbrook,Poolsbrook,Derbyshire,2 Apr 2016,"At Poolsbrook Country Park, the site of a former colliery",53.2582548,-1.3393794
36,rosliston,Rosliston,Derbyshire,12 Mar 2016,A trail run that starts at Rosliston Forestry Centre in The National Forest,52.7480213,-1.6418861
37,rushcliffe,Ruddington,Nottinghamshire,6 Oct 2012,At Rushcliffe Country Park[49][50],52.8921132,-1.1502372
38,rutlandwater,Rutland Water,Rutland,24 Oct 2015,An out and back along the reservoir,52.65565615,-0.6222867368721321
39,salceyforest,"Hartwell, Northamptonshire",Northamptonshire,26 Nov 2019,The course consists of one lap in a clockwise direction on a mixture of gravel and trail through the forest.[52],52.1476533,-0.8496597
40,sherwoodpines,Mansfield,Nottinghamshire,24 Oct 2015,A forest run starting and finishing at Go Ape Sherwood,53.1443785,-1.1964165
41,shipleycountry,Heanor,Derbyshire,25 Feb 2017,"At Shipley Country Park on a mixture of trail, tarmac and gravel paths[54]",53.0145821,-1.3574966
42,sixfieldsupton,Upton,Northamptonshire,24 Feb 2018,At Upton Country Park,52.232621449999996,-0.9517701251204009
43,snowdenfield,Crowland,Lincolnshire,27 Apr 2019,Four anti-clockwise laps on grass[55],52.6847789,-0.15786742725833894
44,watermeadcountrypark,Syston,Leicestershire,25 Sep 2019,Nearly all on tarmac the route is an anticlockwise lap of John Merricks Lake and then 2 clockwise laps of King Lears Lake.[56],52.6980264,-1.0837353966278125
45,watermeadows,Towcester,Northamptonshire,16 Feb 2019,"At Watermeadows, bordering the River Tove. The Parkrun is entirely on grass",52.132756,-0.9894811
46,wollatonhall,Wollaton,Nottinghamshire,8 Feb 2020,The Dark Knight Rises! [58] An undulating out and back course with a single loop of the lake.,52.93180325,-1.2194429145139531
47,gainsborough,Gainsborough,Lincolnshire,30 May 2015,Permanently closed,53.3968736,-0.7739577
48,aldenham,Elstree,Hertfordshire,20 Jun 2015,At Aldenham Country Park,51.6437729,-0.2989349
49,altonwater,Stutton,Suffolk,6 Nov 2021,Two lap trail route takes you along scenic footpaths and parts of the stunning reservoir.,51.9705923,1.1280032
50,barclay,Hoddesdon,Hertfordshire,6 Jun 2015,At Barclay Park,51.7616709,-0.0112898
51,basildon,Basildon,Essex,5 Apr 2014,Three laps on grass and footpaths at Northlands Park,51.5754602,0.4757363
52,bedford,Bedford,Bedfordshire,11 Jun 2011,"A fast run at Bedford Park on flat, compacted surfaces",52.064003400000004,-0.41111375560310925
53,billericay,Billericay,Essex,24 Jun 2017,Almost four laps of Lake Meadows Park taking in the lake,51.6284395,0.4218142
54,blickling,Blickling,Norfolk,9 Nov 2013,At the National Trust's Blickling Hall with two laps on the mausoleum walk,52.813979450000005,1.2278976355580036
55,brandoncountry,Brandon,Suffolk,9 Mar 2013,"At Brandon Country Park on a mixture of grass, trail paths, gravel paths and sand",52.4482313,0.6240803
56,brentwood,Brentwood,Essex,6 Dec 2014,"At Weald Country Park, one lap including the steep Heartbreak Hill",51.6201654,0.3018662
57,brundall,Brundall,Norfolk,20 Jun 2015,At Brundall Countryside Park near Blundall railway station,52.6234524,1.4383782
58,burnhamoncrouch,Burnham-on-Crouch,Essex,22 Jul 2017,Taking in the River Crouch and the Harbour,51.6355223,0.8459361037007906
59,burystedmunds,Nowton,Suffolk,29 Jun 2013,At Nowton park on the southern edge of Bury St Edmunds,52.2150263,0.7317251
60,cambridge,Milton,Cambridgeshire,30 Jan 2010,"At Milton Country Park, lots of twisty turns, flat, some narrow sections and regular 400+ field. PERMANENTLY CLOSED",52.2422961,0.1604726
61,cassiobury,Watford,Hertfordshire,28 Feb 2015,Two and a half laps of Cassiobury Park all on tarmac,51.6553875,-0.3957425
62,castlepark,Bishop's Stortford,Hertfordshire,30 Sep 2017,"At Castle Park near the town centre, flat with some narrow sections and a regular 250+field",51.8676279,0.1631961
63,catton,Norwich,Norfolk,5 Oct 2013,At Catton Park starting near Hayman Lodge on a mixture of surfaces,52.6285694,1.2923049
64,chelmsfordcentral,Chelmsford,Essex,19 Jan 2013,At both Central Park and adjacent Admirals Park following the River Can,51.7345329,0.4730532
65,chalkwellbeach,Westcliff on Sea,Essex,29 Feb 2020,"The course is on occasion at a slight camber otherwise straight, out and back.",51.5378798,0.6929146
66,chiltonfields,Stowmarket,Suffolk,24 July 2021,"Three laps of mixed terrain, no dogs",52.1878147,0.9973428
67,clactonseafront,Clacton-on-Sea,Essex,15 Jan 2016,Along the promenade entirely on tarmac turning around at Clacton Pier,51.7883997,1.1527865
68,clarecastle,Clare,Suffolk,30 Sep 2017,At Clare Castle Country Park starting at Clare Castle,52.0801783,0.5829603
69,coldhamscommon,Cambridge,Cambridgeshire,29 Sep 2018,At Coldham's Common and mostly on grass,52.2055314,0.1186637
70,colchestercastle,Colchester,Essex,6 Jun 2013,At Castle Park passing Colchester Castle and entirely on footpaths,51.8896903,0.8994651
71,colneylane,Colney,Norfolk,9 Dec 2017,At Colney Lane Playing Fields which are owned by the University of East Anglia,52.6255327,1.2218042
72,downhammarketacademy,Downham Market,Norfolk,5 Mar 2022,"Start and finish on a tarmac facilities road, four laps of the perimeter of the grass school playing field and includes the school tarmac playgrounds.",52.6025283,0.3773258
73,dunstabledowns,Dunstable,Bedfordshire,23 Feb 2019,Starts and finishes at Chiltern Gateway Centre. Run on grass and trails,51.8861316,-0.5209341
74,ellenbrookfields,Hatfield,Hertfordshire,21 May 2016,At the University of Hertfordshire Sports Village mostly on grass. CLOSED in 2021,51.7634675,-0.2258741
75,felixstowe,Felixstowe,Suffolk,7 Apr 2018,"A flat route run along the promenade,[79] starting and finishing at Felixstowe Pier",51.9639098,1.3515106
76,ferrymeadows,Peterborough,Cambridgeshire,3 Aug 2013,"The event takes place in the scenic Ferry Meadows Country Park, Peterborough and is run entirely on tarmac paths.",52.5725769,-0.2427336
77,flegghigh,Martham,Norfolk,2 Oct 2021,"A flat three-lap multi course of a combination of cross-country, gravel and concrete.",52.7015442,1.632289
78,fulbournhospital,Fulbourn,Cambridgeshire,7 Dec 2019,"In the grounds of Fulbourn Hospital, mostly on grass, concrete pathway at the start and end of each lap.",52.1828971,0.2198896
79,gadebridge,Hemel Hempstead,Hertfordshire,2 May 2015,Two loops of the park on a mixture of grass and footpath,51.7511784,-0.472528
80,gorleston,Gorleston,Norfolk,25 Apr 2009,The two lap course is along the sea front and mostly flat apart from a short steep hill from the lower to the upper promenade.[81],52.5778559,1.7273353
81,greatcornard,Great Cornard,Suffolk,1 Mar 2014,At Great Cornard Sports Centre run almost entirely on grass,52.0301658,0.7475329
83,greatdunmow,Great Dunmow,Essex,14 Apr 2018,At The Recreation Ground mainly on trail starting at the skatepark,51.873352249999996,0.3579815059956094
84,greatnotley,Great Notley,Essex,28 Jun 2014,In Great Notley Country Park ran on gravel tracks and grass,51.8599007,0.5230151474045264
85,greatyarmouthnorthbeach,Great Yarmouth,Norfolk,8 Feb 2020,Along the dunes of Great Yarmouth beach[82],52.6071742,1.7314845
86,gunpowder,Waltham Abbey,Essex,22 Oct 2011,"In Gunpowder Park, now part of Lee Valley Park and formerly part of Waltham Abbey Royal Gunpowder Mills",51.6892068,-0.0009449
87,hadleigh,Hadleigh,Essex,22 Oct 2016,An undulating course at Hadleigh Country Park with views across the Thames Estuary,51.553924,0.6086965
88,harlestonmagpies,Diss,Suffolk,25 Sep 2021,Three laps on grass,52.3328393,1.1318707153799816
89,harlow,Harlow,Essex,8 Nov 2014,At Harlow Town Park mainly on the foot and cycle path,51.7676194,0.0974893
90,harwich,Harwich,Essex,1 Aug 2015,Along the promenade starting at Cliff Park,51.9445801,1.2898522
91,haverhill,Haverhill,Suffolk,10 Mar 2018,At Puddlebrook Playing Fields mostly on grass,52.0832721,0.4353932
92,henlowbridgelakes,Henlow,Bedfordshire,25 Sep 2021,This flat course takes you on a 2.5 lap anticlockwise loop around the beautiful Henlow Bridge Lakes and riverside footpaths.,52.0323139,-0.2892463
93,highwoods,Colchester,Essex,2 Mar 2019,At High Woods Country Park on a mix of paths and trails,51.8896903,0.8994651
94,hockleywoods,Hockley,Essex,7 Feb 2015,Run entirely on trail paths in the woods,51.607371799999996,0.6481523272789123
